local,resultado,visitante,fecha
Rosario Central,1 -                                         0,Argentinos Juniors,regular_a_1
Defensa y Justicia,2 -                                         4,Huracán,regular_a_1
San Lorenzo de Almagro,1 -                                         0,Arsenal de Sarandí,regular_a_1
Estudiantes,1 -                                         2,Tigre,regular_a_1
Talleres,0 -                                         1,Independiente,regular_a_1
Central Córdoba (Santiago del Estero),0 -                                         2,River Plate,regular_a_1
Platense,2 -                                         2,Newell´s Old Boys,regular_a_1
Racing Club,0 -                                         0,Belgrano,regular_a_1
Colón de Santa Fe,1 -                                         2,Lanús,regular_a_1
I. Córdoba,0 -                                         0,Sarmiento,regular_a_1
Boca Juniors,1 -                                         0,At. Tucumán,regular_a_1
Barracas Central,0 -                                         1,Godoy Cruz,regular_a_1
Banfield,0 -                                         0,Unión Santa Fe,regular_a_1
Vélez Sarsfield,3 -                                         1,Gimnasia La Plata,regular_a_1
Newell´s Old Boys,1 -                                         0,Vélez Sarsfield,regular_a_2
Tigre,2 -                                         2,Rosario Central,regular_a_2
Arsenal de Sarandí,1 -                                         1,Estudiantes,regular_a_2
Sarmiento,3 -                                         5,Barracas Central,regular_a_2
Belgrano,2 -                                         1,River Plate,regular_a_2
Argentinos Juniors,1 -                                         0,Racing Club,regular_a_2
Lanús,2 -                                         1,San Lorenzo de Almagro,regular_a_2
Independiente,1 -                                         2,Platense,regular_a_2
Boca Juniors,0 -                                         0,Central Córdoba (Santiago del Estero),regular_a_2
Godoy Cruz,1 -                                         0,Colón de Santa Fe,regular_a_2
Unión Santa Fe,0 -                                         2,I. Córdoba,regular_a_2
At. Tucumán,0 -                                         2,Talleres,regular_a_2
Gimnasia La Plata,0 -                                         2,Defensa y Justicia,regular_a_2
Huracán,3 -                                         2,Banfield,regular_a_2
Colón de Santa Fe,0 -                                         2,Sarmiento,regular_a_3
Central Córdoba (Santiago del Estero),0 -                                         1,Belgrano,regular_a_3
San Lorenzo de Almagro,1 -                                         0,Godoy Cruz,regular_a_3
Defensa y Justicia,1 -                                         0,Newell´s Old Boys,regular_a_3
Platense,1 -                                         1,At. Tucumán,regular_a_3
Vélez Sarsfield,0 -                                         0,Independiente,regular_a_3
Talleres,2 -                                         1,Boca Juniors,regular_a_3
Banfield,0 -                                         0,Gimnasia La Plata,regular_a_3
Rosario Central,2 -                                         1,Arsenal de Sarandí,regular_a_3
River Plate,2 -                                         1,Argentinos Juniors,regular_a_3
Racing Club,2 -                                         2,Tigre,regular_a_3
I. Córdoba,0 -                                         0,Huracán,regular_a_3
Barracas Central,1 -                                         1,Unión Santa Fe,regular_a_3
Estudiantes,0 -                                         2,Lanús,regular_a_3
Gimnasia La Plata,2 -                                         0,I. Córdoba,regular_a_4
Huracán,2 -                                         0,Barracas Central,regular_a_4
Arsenal de Sarandí,0 -                                         3,Racing Club,regular_a_4
Lanús,3 -                                         0,Rosario Central,regular_a_4
Tigre,0 -                                         1,River Plate,regular_a_4
Godoy Cruz,0 -                                         1,Estudiantes,regular_a_4
Argentinos Juniors,3 -                                         0,Belgrano,regular_a_4
Newell´s Old Boys,2 -                                         0,Banfield,regular_a_4
Unión Santa Fe,1 -                                         1,Colón de Santa Fe,regular_a_4
Boca Juniors,3 -                                         1,Platense,regular_a_4
Independiente,0 -                                         2,Defensa y Justicia,regular_a_4
Talleres,2 -                                         0,Central Córdoba (Santiago del Estero),regular_a_4
Sarmiento,0 -                                         1,San Lorenzo de Almagro,regular_a_4
At. Tucumán,1 -                                         1,Vélez Sarsfield,regular_a_4
Belgrano,0 -                                         2,Tigre,regular_a_5
Rosario Central,1 -                                         0,Godoy Cruz,regular_a_5
San Lorenzo de Almagro,1 -                                         0,Unión Santa Fe,regular_a_5
Platense,2 -                                         4,Talleres,regular_a_5
Estudiantes,1 -                                         1,Sarmiento,regular_a_5
Vélez Sarsfield,1 -                                         2,Boca Juniors,regular_a_5
Colón de Santa Fe,1 -                                         1,Huracán,regular_a_5
Defensa y Justicia,3 -                                         0,At. Tucumán,regular_a_5
River Plate,1 -                                         2,Arsenal de Sarandí,regular_a_5
Banfield,0 -                                         0,Independiente,regular_a_5
I. Córdoba,3 -                                         1,Newell´s Old Boys,regular_a_5
Barracas Central,1 -                                         0,Gimnasia La Plata,regular_a_5
Racing Club,2 -                                         1,Lanús,regular_a_5
Central Córdoba (Santiago del Estero),1 -                                         0,Argentinos Juniors,regular_a_5
Sarmiento,4 -                                         1,Rosario Central,regular_a_6
Unión Santa Fe,2 -                                         0,Estudiantes,regular_a_6
Gimnasia La Plata,0 -                                         0,Colón de Santa Fe,regular_a_6
Platense,1 -                                         1,Central Córdoba (Santiago del Estero),regular_a_6
Lanús,0 -                                         2,River Plate,regular_a_6
At. Tucumán,1 -                                         0,Banfield,regular_a_6
Newell´s Old Boys,1 -                                         0,Barracas Central,regular_a_6
Independiente,2 -                                         2,I. Córdoba,regular_a_6
Huracán,1 -                                         1,San Lorenzo de Almagro,regular_a_6
Talleres,1 -                                         2,Vélez Sarsfield,regular_a_6
Tigre,0 -                                         1,Argentinos Juniors,regular_a_6
Arsenal de Sarandí,0 -                                         1,Belgrano,regular_a_6
Godoy Cruz,2 -                                         0,Racing Club,regular_a_6
Boca Juniors,0 -                                         0,Defensa y Justicia,regular_a_6
Barracas Central,1 -                                         1,Independiente,regular_a_7
Argentinos Juniors,1 -                                         1,Arsenal de Sarandí,regular_a_7
I. Córdoba,1 -                                         1,At. Tucumán,regular_a_7
San Lorenzo de Almagro,4 -                                         0,Gimnasia La Plata,regular_a_7
Defensa y Justicia,1 -                                         1,Talleres,regular_a_7
Central Córdoba (Santiago del Estero),2 -                                         0,Tigre,regular_a_7
Belgrano,0 -                                         0,Lanús,regular_a_7
Racing Club,1 -                                         0,Sarmiento,regular_a_7
River Plate,3 -                                         0,Godoy Cruz,regular_a_7
Estudiantes,2 -                                         1,Huracán,regular_a_7
Banfield,1 -                                         0,Boca Juniors,regular_a_7
Rosario Central,1 -                                         1,Unión Santa Fe,regular_a_7
Colón de Santa Fe,1 -                                         1,Newell´s Old Boys,regular_a_7
Vélez Sarsfield,1 -                                         1,Platense,regular_a_7
Unión Santa Fe,1 -                                         3,Racing Club,regular_a_8
Arsenal de Sarandí,2 -                                         0,Tigre,regular_a_8
